Ticker,Rating Date,Fiscal Year,RTG_SP_LT_LC_ISSUER_CREDIT,COUNTRY,GICS_INDUSTRY_NAME,BS_TOT_ASSET,SALES_REV_TURN,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_COM_EQY,GROSS_MARGIN,ADJ_SG&A_TO_SALES,EBITDA_MARGIN,EBIT_MARGIN,OPER_INC_TO_NET_SALES,PROF_MARGIN,NORMALIZED_PROFIT_MARGIN,FREE_CASH_FLOW_MARGIN,ASSET_TURNOVER,NET_FIX_ASSET_TURN,ACCT_RCV_TURN,INVENT_TURN,CUR_RATIO,QUICK_RATIO,CASH_RATIO,ACCT_RCV_DAYS,INVENT_DAYS,ACCOUNTS_PAYABLE_TURNOVER_DAYS,CASH_CONVERSION_CYCLE,TOT_DEBT_TO_TOT_EQY,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_COM_EQY,LT_DEBT_TO_TOT_CAP,NON_CUR_LIAB_TO_TOT_ASSET,EBIT_TO_INT_EXP,EBITDA_TO_TOT_INT_EXP,EBITDA_LES_CAP_EXPEND_TO_INT_EXPP,TOT_DEBT_TO_EBITDA,NET_DEBT_TO_EBITDA
WUW GR Equity,31/12/2015,-2FY,BBB+,GE,Insurance,78536.06,6404.24,2151.73,-2677.46,147.69,0.30,NA,6.94,NA,NA,NA,NA,3.11,3.64,4.15,32.81,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,923.38,90.23,155.18,14.69,NA,NA,NA,NA,NA,NA
GRA US Equity,31/12/2015,-2FY,BB+,US,Chemicals,3645.70,1628.20,12.70,-144.40,-95.90,3.73,8.69,50.27,40.03,NA,22.11,16.02,16.02,8.86,10.37,-6.52,0.42,2.24,4.43,3.67,1.67,0.69,0.33,82.45,99.35,89.48,92.32,1020.99,91.08,1016.12,88.64,74.77,2.65,3.61,2.42,6.03,5.38
WRB US Equity,31/12/2015,-2FY,BBB+,US,Insurance,21730.97,7206.46,881.30,-170.76,-621.35,2.32,8.46,10.96,NA,NA,NA,NA,11.98,6.99,6.16,11.35,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.96,32.41,47.50,31.87,NA,NA,NA,NA,NA,NA
WPX US Equity,31/12/2015,-2FY,BB,US,"Oil, Gas & Consumable Fuels",8393.00,1366.00,811.00,-1316.00,473.00,-20.09,-26.26,-46.20,41.51,NA,88.87,20.06,20.06,-126.43,-21.28,-22.91,0.16,0.20,3.60,17.56,1.22,0.46,0.05,101.40,20.79,225.84,-103.65,90.21,47.43,99.78,47.43,49.15,1.47,6.49,0.48,2.63,2.60
WPP LN Equity,31/12/2015,-2FY,BBB,GB,Media,28749.20,12235.20,1359.90,-902.50,-758.40,4.19,10.86,15.33,86.02,NA,16.26,13.25,13.25,9.48,8.88,9.40,0.44,15.58,1.86,5.21,0.94,0.65,0.17,195.95,70.01,1745.99,-1480.04,69.78,41.10,61.03,34.25,22.67,7.57,9.29,8.30,2.81,1.61
WPC US Equity,31/12/2015,-2FY,BBB,US,Equity Real Estate Investment,8742.09,938.38,477.28,-645.19,126.45,1.98,2.31,4.80,NA,NA,68.78,38.10,38.10,18.36,20.85,-21.98,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.27,55.61,66.22,28.17,NA,1.84,3.32,-0.20,6.94,6.70
WOR US Equity,31/12/2015,-2FY,BBB,US,Metals & Mining,2085.14,3384.23,214.38,-203.07,-170.32,3.50,7.36,9.60,13.70,NA,4.30,1.79,1.79,2.27,4.33,3.49,1.54,6.69,7.00,7.44,1.89,0.96,0.06,52.16,49.05,38.07,63.14,79.85,44.40,77.34,38.35,34.56,1.69,4.07,1.38,4.61,4.39
WRLD US Equity,31/12/2015,-2FY,B+,US,Consumer Finance,866.13,610.21,241.89,-108.21,-114.91,12.92,13.60,35.58,NA,NA,33.86,NA,28.85,18.16,18.88,39.75,0.71,24.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.81,61.36,158.81,61.36,NA,NA,8.87,NA,2.43,2.24
000030 KS Equity,31/12/2015,-2FY,A-,SK,Banks,291859072.00,11014129.00,2146717.00,-21876766.00,20411243.00,0.38,1.68,5.59,NA,NA,NA,NA,12.94,14.96,12.45,28.50,0.04,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.08,70.16,138.12,33.85,NA,NA,NA,NA,NA,NA
WOW AU Equity,31/12/2015,-2FY,BBB+,AU,Food & Staples Retailing,25336.80,59001.30,3349.70,-1338.50,-1600.40,8.68,15.18,20.35,27.20,NA,7.95,6.02,6.02,3.64,4.02,2.07,2.39,6.00,218.20,8.98,0.84,0.18,0.15,1.67,40.53,40.63,1.57,42.44,29.80,28.42,19.42,19.88,12.67,13.94,7.61,1.01,0.72
WPL AU Equity,31/12/2015,-2FY,BBB+,AU,"Oil, Gas & Consumable Fuels",23839.00,5030.00,2442.00,-5555.00,-33.00,0.11,0.73,0.17,38.91,NA,39.36,8.77,8.77,0.52,17.55,12.39,0.21,0.25,19.09,14.74,0.83,0.27,0.09,19.12,24.76,34.66,9.23,29.56,22.81,30.68,22.42,31.50,4.96,22.25,1.81,2.24,2.18
WWW US Equity,31/12/2015,-2FY,BB+,US,"Textiles, Apparel & Luxury Goo",2434.40,2691.60,215.50,-50.00,-195.20,4.97,NA,12.65,39.07,NA,9.28,7.47,7.47,4.56,5.40,6.28,1.09,20.06,8.80,3.72,2.87,1.40,0.55,41.36,97.73,37.54,101.55,83.51,45.51,82.28,44.56,45.65,NA,NA,NA,3.24,2.46
WKL NA Equity,31/12/2015,-2FY,BBB+,NE,Professional Services,8099.00,4208.00,846.00,-376.00,-356.00,5.47,10.40,18.48,68.56,NA,25.00,15.85,15.85,10.05,11.26,15.64,0.54,32.49,3.80,10.18,0.83,0.71,0.29,96.06,35.87,NA,NA,104.64,51.13,93.28,45.49,35.21,6.74,10.63,8.73,2.46,1.69
WPRO IN Equity,31/12/2015,-2FY,A-,IN,IT Services,600033.00,469545.00,89773.00,-38246.00,-7015.00,15.70,19.81,23.03,31.58,NA,22.28,19.55,19.55,18.43,17.88,16.42,0.85,8.89,NA,89.97,2.66,1.30,1.30,NA,4.06,NA,NA,19.26,16.15,3.11,2.60,4.40,119.51,136.21,119.72,0.75,-1.28
WGO US Equity,31/12/2015,-2FY,NA,US,Automobiles,362.17,976.51,45.18,-16.52,-16.23,11.44,NA,19.92,10.74,NA,6.55,6.08,6.08,4.22,4.25,2.93,2.71,31.31,14.29,7.75,3.26,1.68,0.86,25.47,46.98,13.85,58.60,0.00,0.00,0.00,0.00,16.46,NA,NA,NA,0.00,-1.10
WIN US Equity,31/12/2015,-2FY,B+,US,Diversified Telecommunication,12518.10,5765.30,1026.60,-522.00,-501.10,0.22,7.46,9.00,49.57,14.04,32.54,8.84,8.84,0.48,-1.65,-0.50,0.46,1.08,9.01,40.60,0.69,0.53,0.02,40.50,8.99,52.03,-2.55,1737.34,94.56,1685.57,91.74,87.43,0.63,2.28,1.00,2.84,2.82
WLTW US Equity,31/12/2015,-2FY,BBB-   *,GB,Insurance,18839.00,3829.00,243.00,-943.00,597.00,2.18,9.49,17.70,NA,NA,15.62,11.15,11.15,9.74,14.86,2.53,0.22,7.32,3.33,NA,0.98,0.14,0.04,109.72,NA,NA,NA,135.35,57.51,102.20,40.11,19.24,3.01,4.21,3.18,5.46,4.57
WSC US Equity,31/12/2015,-2FY,NA,US,Real Estate Management & Devel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPZ US Equity,31/12/2015,-2FY,BBB-,US,"Oil, Gas & Consumable Fuels",47870.00,7331.00,2661.00,-2951.00,215.00,-2.98,-1.85,-8.53,30.35,NA,28.44,5.22,5.22,-19.77,2.19,-1.83,0.15,0.26,7.59,28.53,0.65,0.51,0.04,48.07,12.80,53.12,7.74,79.96,44.43,83.04,42.91,43.96,0.47,2.41,-0.82,9.44,9.39
WMB US Equity,31/12/2015,-2FY,BB+    *-,US,"Oil, Gas & Consumable Fuels",49020.00,7360.00,2708.00,-3299.00,451.00,-1.15,-1.54,-7.65,75.83,NA,26.68,3.07,3.07,-7.76,19.06,-6.24,0.15,0.26,7.31,9.94,0.61,0.46,0.04,49.91,36.73,175.31,-88.67,150.92,60.15,387.31,58.49,61.81,0.22,1.76,-1.08,12.47,12.42
WMH LN Equity,31/12/2015,-2FY,BB+,GB,"Hotels, Restaurants & Leisure",2346.70,1590.90,302.70,-83.80,-158.90,8.03,11.89,15.98,76.25,NA,22.86,13.92,13.92,11.94,11.94,17.61,0.67,7.30,216.45,3779.00,0.52,0.43,0.43,1.68,0.10,104.85,-103.07,54.99,35.48,30.39,19.61,19.93,5.25,8.62,8.09,1.84,1.06
WRD US Equity,31/12/2015,-2FY,NA,US,"Oil, Gas & Consumable Fuels",335.72,41.51,25.66,-128.97,114.59,NA,NA,NA,56.92,NA,50.75,14.64,14.64,-34.78,3.93,-248.87,NA,NA,NA,NA,1.23,1.03,0.32,NA,NA,NA,NA,62.07,38.30,62.07,38.30,35.51,2.27,7.86,-40.26,5.27,4.70
WLL US Equity,31/12/2015,-2FY,BB,US,"Oil, Gas & Consumable Fuels",11389.09,2092.48,1051.39,-1982.12,868.68,-17.49,-18.83,-42.49,5.29,NA,-78.13,-137.54,-137.54,-106.06,-13.45,-69.08,0.16,0.18,4.78,NA,0.89,0.58,0.03,76.37,NA,12.89,NA,109.23,52.21,109.41,52.21,52.95,-8.61,-4.89,-12.37,NA,NA
WTM US Equity,31/12/2015,-2FY,BBB,US,Insurance,10282.60,1621.70,175.70,11.30,-214.60,2.87,6.03,7.47,NA,NA,NA,NA,10.60,18.35,0.50,10.83,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73,7.17,8.63,7.17,NA,NA,NA,NA,NA,NA
WHR US Equity,31/12/2015,-2FY,BBB,US,Household Durables,19010.00,20891.00,1225.00,-681.00,-798.00,4.01,9.62,16.27,17.66,NA,9.35,6.15,6.15,3.75,4.41,2.57,1.07,5.39,7.89,6.42,0.89,0.43,0.10,46.28,56.86,97.59,5.55,70.46,41.34,73.16,35.88,29.42,7.79,11.84,7.66,2.05,1.65
288 HK Equity,31/12/2015,-2FY,NA,HK,Food Products,14720.00,22243.00,1574.00,-735.00,-680.00,5.31,11.49,20.69,15.35,NA,9.37,7.72,7.72,3.44,3.49,3.78,1.54,4.86,25.94,6.45,1.72,0.65,0.38,14.07,56.59,16.50,54.16,77.59,43.69,77.49,37.00,37.69,4.63,5.60,3.63,2.25,1.68
WGL US Equity,31/12/2015,-2FY,A+,US,Gas Utilities,5261.36,2659.83,504.06,-525.11,18.97,2.62,6.54,10.54,34.99,NA,14.39,9.80,9.80,4.98,5.89,1.50,0.53,0.76,8.21,5.86,0.76,0.37,0.01,44.46,62.28,72.59,34.14,102.34,50.58,75.95,36.70,NA,5.16,7.58,-1.62,3.40,3.38
WY US Equity,31/12/2015,-2FY,BBB    *-,US,Equity Real Estate Investment,12720.00,5246.00,1075.00,-487.00,-1156.00,3.89,6.97,10.46,21.44,NA,21.67,12.54,12.54,9.65,7.28,11.28,0.40,2.54,13.10,8.96,2.75,0.97,0.76,27.87,40.74,25.35,43.25,108.89,52.13,126.14,52.09,51.31,1.93,3.27,1.88,4.66,3.77
WEX US Equity,31/12/2015,-2FY,BB-,US,IT Services,3847.91,854.64,445.10,-126.66,-323.22,2.56,5.78,9.51,83.75,NA,36.85,26.77,26.77,11.92,16.02,44.65,0.21,7.00,0.51,NA,1.35,1.28,0.21,720.52,NA,1057.69,NA,108.77,52.10,110.02,52.10,34.93,4.95,6.82,5.44,3.78,2.84
WETHAQ KK Equity,31/12/2015,-2FY,BB,KU,Insurance,12.46,0.94,0.10,1.30,-0.10,-0.02,0.60,-0.03,NA,NA,NA,NA,88.03,-0.34,-21.53,11.10,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA
WRK US Equity,31/12/2015,-2FY,BBB,US,Containers & Packaging,25372.40,11124.80,1203.60,-282.70,-725.20,2.79,4.87,6.36,19.22,NA,14.32,7.66,7.66,4.56,5.84,5.56,0.61,1.48,8.26,6.44,1.92,0.82,0.10,44.20,56.66,38.39,62.47,47.65,32.27,47.70,31.91,44.91,6.43,12.02,7.61,3.53,3.40
WBC AU Equity,31/12/2015,-2FY,AA-,AU,Banks,812156.00,39665.00,30502.00,-58284.00,16792.00,1.01,3.18,15.78,NA,NA,NA,NA,28.77,37.03,34.53,137.84,0.05,26.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.68,79.07,348.21,71.79,NA,NA,NA,NA,NA,NA
WN CN Equity,31/12/2015,-2FY,BBB,CA,Food & Staples Retailing,38220.00,46894.00,2780.00,-1407.00,-1293.00,1.36,4.23,7.00,28.21,NA,7.71,4.11,4.11,1.09,1.32,3.23,1.24,4.21,33.54,7.50,1.39,0.48,0.31,10.88,48.68,NA,NA,90.70,47.56,159.21,38.49,38.99,3.48,6.51,4.23,3.74,3.02
WLB US Equity,31/12/2015,-2FY,B,US,"Oil, Gas & Consumable Fuels",1816.50,1131.00,50.35,-432.77,335.57,-12.73,-31.31,NA,17.75,NA,5.37,-4.30,-4.30,-15.55,-8.41,0.00,0.82,1.60,10.81,10.70,0.93,0.42,0.04,33.76,34.10,36.89,30.98,NA,155.00,NA,146.70,98.65,-0.59,0.74,0.13,16.22,15.99
WLK US Equity,31/12/2015,-2FY,BBB+,US,Chemicals,5569.29,4463.34,1078.84,-1006.18,-290.74,11.98,16.63,20.82,26.55,NA,27.01,21.50,21.50,14.47,14.02,13.16,0.83,1.55,9.09,6.83,4.16,3.07,2.26,40.15,53.44,28.08,65.51,21.28,17.55,23.21,17.55,26.66,27.70,34.79,20.61,0.63,-0.35
WJA CN Equity,31/12/2015,-2FY,BBB-,CA,Airlines,5129.02,4029.27,829.14,-822.93,-180.48,7.52,13.25,19.67,61.50,NA,20.72,14.14,14.14,9.12,9.16,-1.91,0.82,1.29,58.78,42.69,0.97,0.82,0.76,6.21,8.55,NA,NA,59.94,37.48,52.72,32.96,31.53,10.96,16.05,-1.38,1.41,-0.01
WFD AU Equity,31/12/2015,-2FY,BBB+,AU,Equity Real Estate Investment,17582.40,1277.40,1122.30,85.50,-409.50,13.25,16.75,27.28,NA,NA,NA,32.64,32.64,181.89,128.94,6.51,0.07,NA,NA,NA,1.80,NA,1.33,NA,NA,NA,NA,56.68,36.18,56.64,36.15,NA,5.71,NA,NA,NA,NA
WFA AU Equity,31/12/2015,-2FY,BBB+,AU,NA,10591.70,1041.50,325.10,-744.80,432.40,2.18,3.29,7.61,NA,NA,63.84,63.84,63.84,20.35,20.35,-49.00,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.58,55.27,132.02,46.76,NA,1.55,1.47,-0.38,8.33,8.20
WU US Equity,31/12/2015,-2FY,BBB,US,IT Services,9449.20,5483.70,1071.10,-286.40,-1252.00,8.66,20.48,61.94,41.66,NA,25.16,20.23,20.23,15.28,15.72,16.91,0.57,25.03,NA,NA,1.12,0.32,0.32,NA,NA,NA,NA,228.91,69.60,228.91,69.60,41.46,6.61,8.22,7.36,2.33,1.38
WES US Equity,31/12/2015,-2FY,BBB-,US,"Oil, Gas & Consumable Fuels",7301.20,1752.07,785.65,-500.28,-254.39,0.06,0.63,-6.48,33.44,NA,20.47,4.91,4.91,0.23,3.06,8.43,0.25,0.37,11.58,302.17,1.27,1.24,0.42,31.52,1.21,23.99,8.74,68.67,40.71,69.88,40.71,43.11,0.76,2.94,-2.29,7.50,7.23
WRG CN Equity,31/12/2015,-2FY,B+,CA,Energy Equipment & Services,876.61,227.52,90.96,-45.51,-49.67,-13.39,-14.11,-24.23,20.96,NA,-36.69,-54.04,-54.04,-56.88,-3.45,25.23,0.24,0.28,3.92,NA,3.25,2.72,1.86,93.04,NA,NA,NA,56.16,35.96,56.29,35.86,42.61,-5.62,-3.58,-5.02,NA,NA
WDC US Equity,31/12/2015,-2FY,NR,US,"Technology Hardware, Storage &",15170.00,14572.00,2242.00,-953.00,-1069.00,9.55,13.10,16.22,28.97,NA,18.70,11.06,11.06,10.05,11.21,11.19,0.95,4.66,8.28,7.98,2.63,2.11,1.63,44.82,46.49,68.10,23.21,27.73,21.71,23.31,18.25,17.88,32.88,55.61,43.12,0.94,-1.00
WR US Equity,31/12/2015,-2FY,BBB+,US,Electric Utilities,10705.67,2459.16,714.54,-649.70,-66.16,2.78,5.91,8.40,77.18,NA,38.98,25.25,25.25,11.87,11.86,0.60,0.23,0.29,9.36,2.05,0.86,0.31,0.00,39.01,178.48,130.67,86.81,97.51,49.37,90.30,45.53,NA,3.51,5.21,1.41,3.74,3.73
WFT CN Equity,31/12/2015,-2FY,BBB-,CA,Paper & Forest Products,3635.00,4100.00,301.00,-288.00,-14.00,2.96,4.50,4.98,14.61,NA,10.73,6.07,6.07,2.54,2.63,1.98,1.17,2.66,15.19,5.75,1.60,0.44,0.02,24.04,63.44,20.12,67.35,29.34,22.69,19.70,15.23,24.26,10.83,19.13,9.57,1.43,1.40
2233 HK Equity,31/12/2015,-2FY,B+     *+,CH,Construction Materials,10768.01,3883.39,820.94,-699.43,-132.50,0.34,1.17,0.72,15.40,NA,25.47,9.34,9.34,0.92,2.77,5.23,0.36,0.45,11.39,6.09,0.79,0.36,0.21,32.04,59.95,82.07,9.92,80.39,44.57,66.14,36.33,31.48,1.60,3.07,1.15,4.08,3.58
WES AU Equity,31/12/2015,-2FY,A-,AU,Food & Staples Retailing,40402.00,62420.00,3791.00,-1898.00,-3249.00,6.09,8.44,9.61,NA,NA,7.80,5.85,5.85,3.91,3.89,2.49,1.56,6.19,59.93,7.95,0.93,0.18,0.07,6.09,45.93,47.22,4.80,26.34,20.85,18.62,14.74,14.59,13.47,17.97,9.70,1.34,1.19
WCC US Equity,31/12/2015,-2FY,BB,US,Trading Companies & Distributo,4569.73,7518.49,283.05,-170.23,-80.86,4.52,NA,11.37,19.87,14.03,5.84,4.97,4.97,2.80,2.80,3.48,1.61,43.03,6.86,7.39,2.38,1.30,0.17,53.22,49.36,44.92,57.66,85.55,46.11,81.00,43.72,40.44,NA,NA,NA,3.46,3.09
WAIR US Equity,31/12/2015,-2FY,B+,US,Aerospace & Defense,2020.97,1497.62,141.17,-9.86,-153.22,-6.98,NA,-17.10,21.67,15.84,-11.93,-13.78,-13.78,-10.33,5.83,8.78,0.68,31.12,5.40,1.61,5.39,1.59,0.39,67.63,226.50,50.38,243.76,116.90,53.90,116.78,53.84,49.11,NA,NA,NA,NA,NA
WEN US Equity,31/12/2015,-2FY,B,US,"Hotels, Restaurants & Leisure",4108.72,1870.30,212.48,35.38,-187.92,3.91,6.71,13.05,36.69,NA,22.89,14.68,14.68,8.62,7.65,-2.09,0.45,1.51,21.61,211.95,2.29,1.61,1.22,17.16,1.75,20.57,-1.65,322.23,76.32,319.14,75.58,75.13,3.19,4.98,2.05,5.67,4.90
MF FP Equity,31/12/2015,-2FY,BBB-,FR,Diversified Financial Services,13010.00,5574.50,617.00,604.50,-792.80,0.15,-3.35,0.78,NA,NA,18.40,8.93,8.93,0.35,-5.34,1.70,0.42,4.02,3.77,NA,1.42,1.20,0.62,96.85,NA,NA,NA,229.01,69.61,251.18,60.82,56.25,1.25,2.59,1.27,6.91,5.34
WELL US Equity,31/12/2015,-2FY,BBB,US,Equity Real Estate Investment,29023.85,3859.83,1373.47,-3484.16,1997.87,3.27,3.37,6.36,NA,NA,51.64,30.13,30.13,22.90,13.38,-62.79,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.43,45.78,26.39,12.65,NA,2.36,3.98,-3.60,6.51,6.32
WFC US Equity,31/12/2015,-2FY,A,US,Banks,1787632.00,90033.00,14772.00,-107235.00,92003.00,1.32,5.04,12.78,NA,NA,NA,NA,37.37,26.60,24.89,17.17,0.05,10.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.21,60.51,116.84,40.64,NA,NA,NA,NA,NA,NA
WCG US Equity,31/12/2015,-2FY,BB,US,Health Care Providers & Servic,5193.60,13890.20,712.60,-124.20,505.10,2.45,5.07,7.14,13.76,7.71,3.29,2.77,2.77,0.85,1.10,4.14,2.87,64.32,22.90,NA,1.75,1.32,1.07,15.94,NA,46.30,NA,70.13,41.22,52.77,31.02,19.71,7.09,8.43,5.90,2.65,-3.06
WBT US Equity,31/12/2015,-2FY,NA,US,Machinery,1754.00,1570.10,143.00,59.10,-186.60,8.60,12.83,12.77,31.95,NA,13.43,10.18,10.18,10.01,8.81,8.27,0.86,12.53,23.30,6.91,0.79,0.30,0.10,15.67,52.80,NA,NA,0.22,0.22,0.19,0.19,12.77,114.21,150.64,141.21,0.01,-0.14
WEIR LN Equity,31/12/2015,-2FY,BBB+,GB,Machinery,3071.90,1879.80,282.20,-101.80,-167.70,-5.39,-6.37,-13.40,33.59,NA,-1.15,-7.32,-7.32,-9.51,19.51,11.34,0.57,4.57,4.35,2.43,1.51,0.69,0.24,83.71,149.98,81.85,151.85,84.24,45.72,68.26,36.86,35.61,-3.88,-0.61,-2.56,NA,NA
WRI US Equity,31/12/2015,-2FY,BBB,US,Equity Real Estate Investment,3901.95,512.84,244.42,-120.98,-124.46,4.52,5.01,11.81,NA,NA,64.47,36.01,36.01,34.00,31.39,-11.91,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.78,57.77,33.30,12.65,NA,2.10,3.63,0.28,6.39,6.32
WTW US Equity,31/12/2015,-2FY,B-,US,Diversified Consumer Services,1394.22,1164.42,54.82,-40.31,-74.19,2.25,10.93,NA,49.30,15.84,19.00,14.43,14.43,2.83,3.38,4.37,0.80,17.53,38.03,19.61,0.70,0.54,0.48,9.57,18.57,28.16,-0.02,NA,239.16,NA,216.07,156.13,1.38,1.82,1.78,9.99,8.90
2338 HK Equity,31/12/2015,-2FY,BBB,CH,Machinery,122255.58,79371.08,10570.57,-2296.74,-4376.15,4.98,9.79,16.64,21.11,NA,10.99,6.05,6.05,6.30,4.56,9.15,0.79,3.45,3.78,5.91,1.34,1.00,0.51,96.59,61.75,80.48,77.87,81.31,44.84,45.78,19.51,26.38,5.64,10.24,6.36,3.91,1.10
WEC US Equity,31/12/2015,-2FY,A-,US,Multi-Utilities,29355.20,5926.10,1293.60,-2517.50,1211.80,2.88,5.83,9.77,62.20,NA,30.95,21.10,21.10,10.80,11.93,0.46,0.27,0.39,7.09,4.12,0.81,0.40,0.02,51.49,88.61,85.14,54.95,119.48,54.44,105.42,47.87,NA,3.77,5.26,1.63,5.66,5.63
WBS US Equity,31/12/2015,-2FY,BBB-,US,Banks,24641.12,997.82,302.79,-774.18,457.17,0.87,3.12,8.76,NA,NA,NA,NA,29.84,22.69,21.67,29.55,0.04,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.39,62.60,126.31,44.76,NA,NA,NA,NA,NA,NA
WFT US Equity,31/12/2015,-2FY,BB+,SZ,Energy Equipment & Services,14760.00,9433.00,706.00,-659.00,-54.00,-11.80,-12.47,-35.25,14.97,NA,-3.67,-16.39,-16.39,-21.04,-10.11,0.25,0.56,1.47,3.93,2.95,1.38,0.56,0.12,92.79,123.57,67.30,149.06,170.31,63.01,135.97,49.60,43.12,-3.26,-0.73,-2.16,NA,NA
WATAN AB Equity,31/12/2015,-2FY,BBB,SR,Insurance,94.87,-8.55,2.35,-3.08,0.66,-11.57,-17.56,-17.56,NA,NA,112.99,NA,127.12,NA,NA,NA,-0.09,-4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA
WM US Equity,31/12/2015,-2FY,A-,US,Commercial Services & Supplies,20367.00,12961.00,2498.00,-1608.00,-2158.00,3.61,6.95,13.43,36.49,10.36,25.38,15.78,15.78,5.81,9.30,9.76,0.62,1.22,8.27,83.14,0.93,0.63,0.02,44.16,4.39,32.45,16.10,166.37,62.46,162.32,60.69,61.32,5.23,8.08,5.05,2.71,2.70
WRE US Equity,31/12/2015,-2FY,BBB,US,Equity Real Estate Investment,2191.17,306.43,109.43,-93.02,-8.41,4.17,4.31,10.84,NA,NA,54.16,18.61,18.61,29.29,1.52,-38.21,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.28,60.20,50.03,19.88,NA,0.96,2.76,-1.01,7.63,7.49
WPG US Equity,31/12/2015,-2FY,BBB-,US,Equity Real Estate Investment,5459.61,921.36,310.76,-705.48,402.20,-1.90,-2.49,-11.24,NA,NA,39.47,3.66,3.66,-9.26,8.05,16.00,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.12,72.08,176.97,35.43,NA,0.24,2.57,1.41,10.03,9.71
HCC US Equity,31/12/2015,-2FY,NA,US,Metals & Mining,802.14,544.73,-131.82,-64.25,-147.15,NA,NA,NA,-15.47,NA,-35.96,-58.66,-58.66,-57.02,-54.32,-36.13,NA,NA,NA,NA,3.01,1.64,1.24,NA,NA,NA,NA,0.00,NA,NA,0.00,194.31,NA,NA,NA,NA,NA
WINS KK Equity,31/12/2015,-2FY,BBB,KU,Insurance,85.18,19.43,1.52,-1.05,-0.30,1.76,NA,3.24,NA,NA,NA,NA,7.14,7.72,0.00,7.20,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70,1.67,0.00,0.00,NA,NA,NA,NA,NA,NA
600309 CH Equity,31/12/2015,-2FY,BBB-,CH,Chemicals,41592.09,21980.65,3084.90,-9028.83,5949.64,6.62,10.86,23.87,30.53,NA,25.29,20.84,20.84,11.01,10.01,-27.14,0.60,0.89,5.45,5.79,0.74,0.36,0.08,66.93,63.05,56.00,73.98,179.82,64.26,140.05,39.91,36.24,11.60,5.85,-3.67,4.30,4.11
2615 TT Equity,31/12/2015,-2FY,BB+,TA,Marine,85227.56,66974.24,11925.48,-3155.64,-2237.07,6.41,9.52,15.77,13.65,NA,14.47,8.07,8.07,7.84,7.50,12.79,0.82,1.50,20.41,47.86,1.72,1.56,1.39,17.88,7.63,38.93,-13.42,83.10,45.38,71.46,38.77,32.45,6.59,11.82,7.72,3.07,-0.04
DIS US Equity,31/12/2015,-2FY,A,US,Media,88182.00,52465.00,10909.00,-4245.00,-5816.00,9.73,13.98,18.73,45.94,NA,29.59,25.10,25.10,15.98,16.84,12.66,0.61,2.16,6.98,18.04,1.03,0.73,0.26,53.18,20.57,71.13,2.62,35.69,26.30,28.69,19.35,26.30,49.70,41.40,30.03,1.12,0.84
WMT US Equity,31/12/2015,-2FY,AA,US,Food & Staples Retailing,199581.00,482130.00,27389.00,-10675.00,-17144.00,7.29,12.89,18.15,25.13,NA,6.96,5.00,5.00,3.05,2.93,3.30,2.39,4.14,77.75,8.06,0.93,0.22,0.13,4.69,45.30,38.95,11.05,55.48,35.68,50.14,31.07,25.73,9.46,12.97,8.54,1.38,1.12
WD US Equity,31/12/2015,-2FY,BB-,US,Thrifts & Mortgage Finance,3514.99,468.20,-1338.72,-27.23,1385.50,2.97,3.46,17.83,NA,NA,52.00,31.03,31.03,17.54,17.54,-286.23,0.17,NA,NA,NA,1.07,0.05,0.05,NA,NA,NA,NA,571.53,85.11,33.71,4.97,7.56,14.65,24.55,24.40,11.56,11.00
